SLUG URL,Pillar,Weight,Score,Basis
aze,Readiness,modifier,×1.03,"Budget per soldier: proxy for training, maintenance & technology"
per,Manpower,15%,72.3,"Active, reserve & paramilitary personnel"
per,Ground forces,20%,50.4,"Tanks, armor & artillery weighted by type"
per,Naval power,20%,47.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
per,Air power,25%,42.2,Weighted by aircraft type and fleet age
per,Nuclear deterrent,10%,0.0,No declared nuclear capability
per,Defense budget,10%,40.0,"Annual spending, purchasing-power adjusted"
per,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
zaf,Manpower,15%,63.0,"Active, reserve & paramilitary personnel"
zaf,Ground forces,20%,57.5,"Tanks, armor & artillery weighted by type"
zaf,Naval power,20%,38.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
zaf,Air power,25%,42.4,Weighted by aircraft type and fleet age
zaf,Nuclear deterrent,10%,0.0,No declared nuclear capability
zaf,Defense budget,10%,41.6,"Annual spending, purchasing-power adjusted"
zaf,Readiness,modifier,×1.01,"Budget per soldier: proxy for training, maintenance & technology"
bel,Manpower,15%,55.0,"Active, reserve & paramilitary personnel"
bel,Ground forces,20%,43.0,"Tanks, armor & artillery weighted by type"
bel,Naval power,20%,20.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bel,Air power,25%,43.8,Weighted by aircraft type and fleet age
bel,Nuclear deterrent,10%,2.5,No declared nuclear capability
bel,Defense budget,10%,55.5,"Annual spending, purchasing-power adjusted"
bel,Readiness,modifier,×1.18,"Budget per soldier: proxy for training, maintenance & technology"
prt,Manpower,15%,59.0,"Active, reserve & paramilitary personnel"
prt,Ground forces,20%,41.4,"Tanks, armor & artillery weighted by type"
prt,Naval power,20%,35.3,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
prt,Air power,25%,39.2,Weighted by aircraft type and fleet age
prt,Nuclear deterrent,10%,0.0,No declared nuclear capability
prt,Defense budget,10%,48.6,"Annual spending, purchasing-power adjusted"
prt,Readiness,modifier,×1.12,"Budget per soldier: proxy for training, maintenance & technology"
mys,Manpower,15%,73.2,"Active, reserve & paramilitary personnel"
mys,Ground forces,20%,49.1,"Tanks, armor & artillery weighted by type"
mys,Naval power,20%,37.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mys,Air power,25%,40.9,Weighted by aircraft type and fleet age
mys,Nuclear deterrent,10%,0.0,No declared nuclear capability
mys,Defense budget,10%,45.1,"Annual spending, purchasing-power adjusted"
mys,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
arg,Manpower,15%,64.0,"Active, reserve & paramilitary personnel"
arg,Ground forces,20%,52.6,"Tanks, armor & artillery weighted by type"
arg,Naval power,20%,35.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
