SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
m345,https://globalmilitary.net/aircraft/m345/,Aermacchi M-345,9.9 m (32.3 ft),8.5 m (27.8 ft),3.7 m (12.3 ft),"2,300 kg (5,071 lbs)","4,100 kg (9,039 lbs)","1 × turbofan Pratt & Whitney Canada JT15D-5C 1,447 kgf each",740 km/h (460 mph),"1,410 km (876 mi)","12,190 m (39,993 ft)",,,25.0 m/s (82.0 ft/s),12.6 m² (135.6 sqft),Martin-Baker Mk 16
s211,https://globalmilitary.net/aircraft/s211/,Aermacchi S-211,9.3 m (30.5 ft),8.4 m (27.7 ft),3.8 m (12.5 ft),"1,850 kg (4,079 lbs)","2,750 kg (6,063 lbs)","1 × turbofan Pratt & Whitney Canada JT15D-4C 1,131 kgf each",667 km/h (414 mph),"1,668 km (1,036 mi)","12,200 m (40,026 ft)",,,21.0 m/s (68.9 ft/s),12.6 m² (135.6 sqft),Martin-Baker Mk 10
aerosonde,https://globalmilitary.net/aircraft/aerosonde/,Aerosonde,,2.9 m (9.5 ft),,8 kg (18 lbs),13 kg (29 lbs),1 × Enya R120,,150 km (93 mi),"4,000 m (13,123 ft)",,30 hours,,,
aerostar,https://globalmilitary.net/aircraft/aerostar/,Aerostar,4.5 m (14.8 ft),7.5 m (24.6 ft),1.3 m (4.3 ft),100 kg (220 lbs),220 kg (485 lbs),1 × piston engine Zanzottera 498i 28 kW each,203 km/h (126 mph),200 km (124 mi),"5,486 m (17,999 ft)",,12 hours,5.07 m/s (16.6 ft/s),,
at-500,https://globalmilitary.net/aircraft/at-500/,Air Tractor AT-500,10.2 m (33.5 ft),15.9 m (52.0 ft),3.0 m (9.8 ft),"2,109 kg (4,650 lbs)","4,754 kg (10,481 lbs)",1 × Pratt & Whitney PT6A-34AG turboprop 560 kW each,248 km/h (154 mph),"1,300 km (808 mi)","11,000 m (36,089 ft)",2,,18.0 m/s (59.1 ft/s),26.8 m² (288.0 sqft),
at-802,https://globalmilitary.net/aircraft/at-802/,Air Tractor AT-802,10.7 m (35.1 ft),18.1 m (59.3 ft),3.9 m (12.9 ft),37 m² (398.3 sqft),"2,951 kg (6,506 lbs)","7,257 kg (15,999 lbs)","1 × turboprop Pratt & Whitney Canada PT6A-67F 1,007 kW each",394 km/h (245 mph),"1,300 km (808 mi)","7,620 m (25,000 ft)",4.3 m/s (14.1 ft/s),,,,
a310mrtt,https://globalmilitary.net/aircraft/a310mrtt/,Airbus A310 MRTT,47.5 m (155.8 ft),43.9 m (144.0 ft),15.8 m (51.8 ft),219 m² (2357.3 sqft),"113,999 kg (251,324 lbs)","163,998 kg (361,553 lbs)","2 × turbofans General Electric CF6-80C2 27,306 kgf each",978 km/h (608 mph),"8,889 km (5,523 mi)","12,497 m (41,001 ft)",,10 hours,,,
a319-cj,https://globalmilitary.net/aircraft/a319-cj/,Airbus A319 CJ,33.8 m (111.0 ft),34.1 m (111.9 ft),11.8 m (38.7 ft),122.6 m² (1319.7 sqft),"42,300 kg (93,255 lbs)",,"2 × CFM56 5A 9,993 kgf each",870 km/h (541 mph),"11,650 km (7,239 mi)","1,350 m (4,429 ft)",,,2,,
a321,https://globalmilitary.net/aircraft/a321/,Airbus A321,37.6 m (123.3 ft),34.1 m (111.9 ft),11.8 m (38.6 ft),122.6 m² (1319.7 sqft),"42,600 kg (93,917 lbs)","78,000 kg (171,960 lbs)","2 × turbofans CFM International CFM56-5A1 11,340 kgf each",871 km/h (541 mph),"5,930 km (3,685 mi)","12,000 m (39,370 ft)",,,,"2,090 m (6,857 ft)",
a330,https://globalmilitary.net/aircraft/a330/,Airbus A330,59 m (193.6 ft),60.3 m (197.8 ft),17.4 m (57.1 ft),362 m² (3896.5 sqft),"119,600 kg (263,673 lbs)","242,000 kg (533,518 lbs)","2 × turbofans General Electric CF6-80E1A4 32,659 kgf each",871 km/h (541 mph),"13,400 km (8,326 mi)","13,000 m (42,651 ft)",,,,,
